sample_id,dataset,language,success,error,rouge1_f,rouge2_f,rougeL_f,detected_language,reference_summary,generated_summary
11,mlsum,fr,True,,0.14545454545454545,0.0,0.07272727272727272,fr,"La confession catholique ne doit pas être conçue en opposition à d’autres et utilisée à des fins politiques, a expliqué le pontife argentin.",Le sanctuaire commémore à la fois une victoire contre les Ottomans et le refus par les habitants de la région d'être forcés dans le Saint-Siège à la fin du 16ème siècle. C'est ici que certains frères ...
12,mlsum,fr,True,,0.6363636363636365,0.46875,0.5757575757575758,fr,"L’explosion a eu lieu dans l’usine Kristall à Dzerzhinsk, une ville située à environ 400 kilomètres à l’est de Moscou.","Une explosion dans une grande usine d'explosifs du centre de la Russie tue au moins 79 personnes. L'explosion a eu lieu à l'usine Kristall de Dzerzhinsk, ville située à environ 400 kilomètres à l-est ..."
13,mlsum,fr,True,,0.1694915254237288,0.035087719298245605,0.1016949152542373,fr,"Tsitsipas, Halep, Fognini et Zverev ont gagné leurs matchs. « Le Monde » livre les résultats en détail au fil de la journée.","Serena Williams a été éliminée au troisième tour de Roland Garres par un autre Américain Antoine Kenin (35e) Ils essaient maintenant de battre leur meilleur rival, Jean de la Potrocki (115ème)."
14,mlsum,fr,True,,0.273972602739726,0.056338028169014086,0.1643835616438356,fr,"Des appels au rassemblement ont été lancés notamment à Paris, où des manifestants se sont élancés en direction de la place de la Nation.","Le dimanche vers 13h, à la place Denfert-Rochereau dans le 14e arrondissement, plusieurs partis politiques ont organisé de nouvelles manifestations. Ils ont également appelé à des mouvements de justic..."
15,mlsum,fr,True,,0.2,0.08333333333333333,0.2,fr,"L’ancien joueur du FC Séville, d’Arsenal et du Real Madrid, avait également disputé la Coupe du monde 2006 avec l’Espagne.",Jose Antonio Reyas est mort à l'âge de 35 ans dans un accident de voiture. Il a joué pour Arsenal et le Real Madrid entre autres.
16,mlsum,fr,True,,0.15384615384615385,0.05405405405405406,0.15384615384615385,fr,Le neurobiologiste fait une lecture de la pièce de Molière (1672) située quelque part entre la psychanalyse freudienne et l’existentialisme pascalien. Subtil et drôle.,"Les femmes de la science, par Molire (1672), Act III."
17,mlsum,fr,True,,0.20689655172413793,0.0,0.13793103448275862,fr,"Sa musique était un mélange de vieux blues, de jazz du temps du ragtime, de country minimaliste et de folk.","Leon Redbone est guitariste, banjoteur et chanteur du groupe American Blues Band. En 1977, il écrit trois livres pour le genre de musique country, dont ""How Can I Live Without You?"" et ""Where Will I G..."
18,mlsum,fr,True,,0.5066666666666667,0.21917808219178084,0.3733333333333333,fr,"Alors que le projet de loi est examiné lundi à l’Assemblée, le Réseau Action Climat demande notamment la fin de la vente des voitures thermiques dès 2030 et une taxe sur les vols.","Le projet de loi sur l'orientation à la mobilité (MoB) est examiné lundi 3 juin 2050 à l'Assemblée nationale.Il est urgent que les parlementaires et le gouvernement révisent leur copie de la loi, exho..."
19,mlsum,fr,True,,0.1951219512195122,0.025,0.0975609756097561,fr,Les élections européennes du 26 mai ont confirmé le fossé entre un vote La République en marche urbain et un vote Rassemblement national dans les zones périphériques.,"Au niveau national, le NRM et le LRM représentent 45,7 des 20 circonscriptions électorales. Certaines régions avec 24,3% de la population, y compris les zones rurales, restent inférieures à 25,7%; le ..."
20,mlsum,fr,True,,0.13333333333333333,0.0,0.08888888888888889,fr,"Le chercheur en gestion Sihem Dekhili livre dans une tribune au « Monde » les résultats d’une enquête sur les obstacles, essentiellement psychologiques, en particulier avec la réticence de l’utilisati...",Les restaurateurs français ont été recommandés de permettre aux clients d'emporter avec eux tout aliment restant dont ils pourraient avoir besoin. Cet incitatif est devenu une obligation le 27 mai 201...
21,mlsum,fr,True,,0.2337662337662338,0.026666666666666665,0.15584415584415584,fr,Le premier film du réalisateur Jordan Peele détourne les codes du gothique et de la science-fiction pour mieux appuyer sa dénonciation.,L'idée d'un jeune homme qu'il allait devenir un vampire est encore trop troublée et beaucoup plus efficace que la suggestion de sa femme. Le film montre également comment les cinéastes se sentent en c...
22,mlsum,fr,True,,0.23728813559322032,0.0,0.11864406779661016,fr,"Le journalisme est un métier qui ­nécessite parfois de faire face aux situations les plus extrêmes. Au­jourd’hui, c’est à une expérience en lisière de l’anthropophagie que je dois me livrer, puisque m...",Le sandwich hommage des Burgers de Papa devait rester sur les charts pendant deux mois. Il a été lancé fin mars par la chaîne de restaurants Les Burgers De Papa. Jacques Heckerton et moi avons essayé ...
23,mlsum,fr,True,,0.48192771084337355,0.19753086419753085,0.2891566265060241,fr,"Le 1er juin 2009, le vol Air France AF 447 disparaissait dans l’Atlantique, entre Rio et Paris. A bord de l’appareil, 228 passagers et membres d’équipage.","Le 1er juin 2009, l'AF 447 Rio-Paris s'est écrasée dans l'Atlantique, tuant 228 personnes. D'une part, Airbus insiste sur les fautes de l'équipage à Rio-Paris. d'autre part, les syndicats des pilotes,..."
24,mlsum,fr,True,,0.2857142857142857,0.07407407407407408,0.17857142857142855,fr,"Le projet de loi, qui vise à donner un nouveau cadre aux déplacements des Français, arrive lundi à l’Assemblée.","La Commission a proposé que la nouvelle loi sur les orientations en matière de mobilité (LOG) soit examinée lors d'une session publique à l'Assemblée nationale, qui débutera le 3 juin."
25,mlsum,fr,True,,0.21782178217821782,0.0,0.11881188118811882,fr,"L’abondance des récoltes a fait baisser le cours des fruits du caféier mais les industriels misent sur cette boisson et ses versions glacées pour séduire les plus jeunes, explique dans sa chronique, L...",La Colombie a été particulièrement touchée par la pression de ses presses au brocolique et l'ajout de mousse à son prix du marché. Son obsession pour le grand secteur du chocolat blanc a également con...
SUMMARY,mlsum,fr,25/25,,0.2700516095775533,0.07993708060322793,0.1823557191602453,,AVERAGE SCORES,Success Rate: 100.0%
