sample_id,dataset,language,success,error,rouge1_f,rouge2_f,rougeL_f,detected_language,reference_summary,generated_summary
14,cnn_dailymail,en,True,,0.2346368715083799,0.03389830508474576,0.1340782122905028,en,"LZ: Indiana law pushing back LGBT rights, and other states' anti-LGBT moves, bow to far right wing that GOP candidates need for 2016 .
Cruz, Huckabee, Jindal, Carson, Walker are reviving culture wars,...","Indiana Gov. Mike Pence signed a religious freedom law last week that opens the door to discrimination against gays and lesbians.
John Avlon: The law was Pence's way of shoring up his street cred with..."
15,cnn_dailymail,en,True,,0.37209302325581395,0.1951219512195122,0.37209302325581395,en,"Singing the national anthem is a risky proposition .
Whitney Houston nailed it; Roseanne Barr destroyed it .","Mtley Cre's Vince Neil sang the national anthem at a Las Vegas football game.
Whitney Houston, Roseanne Barr and Jimi Hendrix have all butchered the song."
16,cnn_dailymail,en,True,,0.15384615384615383,0.01111111111111111,0.07692307692307691,en,"While Republican Gov. Asa Hutchinson was weighing an Arkansas religious freedom bill, Walmart voiced its opposition .
Walmart and other high-profile businesses are showing their support for gay and le...","Walmart's opposition to a religious freedom law in its home state of Arkansas resonated most deeply.
The company is emerging as a bellwether for shifting public opinion on hot-button political issues...."
17,cnn_dailymail,en,True,,0.30158730158730157,0.17741935483870966,0.253968253968254,en,"Amnesty International releases its annual review of the death penalty worldwide; much of it makes for grim reading .
Salil Shetty: Countries that use executions to deal with problems are on the wrong ...","Amnesty International releases its annual review of the death penalty worldwide.
In Pakistan, the government lifted a six-year moratorium on the execution of civilians.
A sharp spike in death sentence..."
18,cnn_dailymail,en,True,,0.26666666666666666,0.10762331838565023,0.1688888888888889,en,"Marseille prosecutor says ""so far no videos were used in the crash investigation"" despite media reports .
Journalists at Bild and Paris Match are ""very confident"" the video clip is real, an editor say...","""So far no videos were used in the crash investigation,"" Marseille prosecutor Brice Robin says.
Paris Match and Bild report that a cell phone video was found at the crash site.
The publications descri..."
19,cnn_dailymail,en,True,,0.33644859813084116,0.11428571428571428,0.24299065420560745,en,"The Rev. Robert Schuller, 88, had been diagnosed with esophageal cancer in 2013 .
His TV show, ""Hour of Power,"" was enormously popular in the 1970s and 1980s .","Schuller was diagnosed with esophageal cancer in August 2013.
He was born in an Iowa farmhouse without running water. Schuller began broadcasting ""Hour of Power"" in 1970.
The show, which ran for decad..."
20,cnn_dailymail,en,True,,0.30303030303030304,0.03125,0.18181818181818182,en,"Former GOP representative compares President Obama to Andreas Lubitz .
Bachmann said with possible Iran deal, Obama will fly ""entire nation into the rocks""
Reaction on social media? She was blasted by...","""With his Iran deal, Barack Obama is for the 300 million souls of the United States,"" she wrote.
Bachmann is no stranger to voicing her opinion on the President's dealing with Iran."
21,cnn_dailymail,en,True,,0.3503649635036496,0.16296296296296298,0.24817518248175185,en,"Father: ""I know he went through what he went through""
Louis Jordan was found on his sailboat, which was listing and in bad shape, rescuer says .
He appears to be in good shape, physically and mentally...","Louis Jordan, 37, left Conway, South Carolina, to fish in the ocean.
Just a few days into his trip, a storm capsized his boat and broke his mast. The Coast Guard says it has found no reason to doubt J..."
22,cnn_dailymail,en,True,,0.24858757062146897,0.057142857142857134,0.1581920903954802,en,"Richard Klass: Iran framework agreement on nukes is strong, but opponents will cast doubts on this and try to obscure its facts .
He says the deal would cut uranium stockpile, centrifuges, implement r...","U.S., Iran reach framework deal to limit Iran's nuclear program.
Aaron Miller: Opponents will likely raise questions about the agreement. David Rothkopf: Some in Congress are skeptical of Iran nuclear..."
23,cnn_dailymail,en,True,,0.3178807947019867,0.053691275167785234,0.15894039735099336,en,"Americans paid more for some fruits and vegetables last year because of the drought .
Tourists will now have to ask for a glass of water at a California restaurant .
Perhaps the only good thing is ano...","California is a breadbasket to the nation, growing more than a third of its vegetables and nearly two-thirds of its fruits and nuts.
The historic California drought hurts the rest of the union, too. T..."
24,cnn_dailymail,en,True,,0.711864406779661,0.5614035087719298,0.4067796610169491,en,"The FBI cites social media messages sent by Keonna Thomas, 30 .
She's accused of trying to travel overseas to join ISIS .
Thomas is one of three women facing federal terror charges this week .","Keonna Thomas is one of three women arrested this week on terror charges.
She's accused of trying to travel overseas to fight for ISIS."
25,cnn_dailymail,en,True,,0.4074074074074074,0.2692307692307692,0.37037037037037035,en,"Iranian sports official: The ban will be lifted for some events in the coming year .
But he says ""families are not interested in attending"" some sports matches .","Deputy Sports Minister Abdolhamid Ahmadi says the ban will be lifted for some events.
It isn't clear exactly which games women will be able to attend."
SUMMARY,cnn_dailymail,en,25/25,,0.34537982149532837,0.15716789755737007,0.24550524500330861,,AVERAGE SCORES,Success Rate: 100.0%
